"constituency","poldist","nte","tourism_tier","rank"
"Soufriere",800,0.247386759581882,"High",1
"Gros Islet",100,0.172473867595819,"High",2
"Anse-la-Raye/Canaries",700,0.0975609756097561,"Medium",3
"Laborie",1000,0.0958188153310105,"Medium",4
"Babonneau",200,0.0557491289198606,"Medium",5
"Choiseul",900,0.0470383275261324,"Medium",6
"Vieux-Fort North",1200,0.0418118466898955,"Medium",7
"Micoud North",1400,0.0365853658536585,"Low",8
"Castries North",300,0.0331010452961672,"Low",9
"Micoud South",1300,0.0331010452961672,"Low",10
"Vieux-Fort South",1100,0.029616724738676,"Low",11
"Castries South",600,0.0226480836236934,"Low",12
"Dennery South",1500,0.0209059233449477,"Low",13
"Dennery North",1600,0.0209059233449477,"Low",14
"Castries South-East",1700,0.0209059233449477,"Low",15
"Castries East",400,0.0121951219512195,"Low",16
"Castries Central",500,0.0121951219512195,"Low",17
