"constituency","poldist","tpi","tourism_tier","rank"
"Gros Islet",100,0.238338582978935,"High",1
"Soufriere",800,0.190008920606601,"High",2
"Anse-la-Raye/Canaries",700,0.154326494201606,"High",3
"Choiseul",900,0.0690802758233503,"Medium",4
"Babonneau",200,0.0496491219965735,"Medium",5
"Laborie",1000,0.0462053254394022,"Medium",6
"Vieux-Fort South",1100,0.0359949578786923,"Low",7
"Micoud South",1300,0.0348567817054199,"Low",8
"Micoud North",1400,0.0345484366773109,"Low",9
"Dennery South",1500,0.0341195961364141,"Low",10
"Vieux-Fort North",1200,0.0281991466506683,"Low",11
"Dennery North",1600,0.0265405287520783,"Low",12
"Castries South-East",1700,0.0153795005171805,"Low",13
"Castries East",400,0.0123643718541836,"Low",14
"Castries North",300,0.0122095251680725,"Low",15
"Castries South",600,0.0100036890546537,"Low",16
"Castries Central",500,0.00817474455885763,"Low",17
