"osm_type","osm_id","lon","lat","attr_type","weight","name","district","constituency"
"node","279872210",-61.0427632,13.8746259,"viewpoint",1.5,NA,"Soufriere","Soufriere"
"node","1224753135",-61.0489948,13.8672,"viewpoint",1.5,NA,"Soufriere","Soufriere"
"node","4031158000",-61.0501517,13.7784035,"viewpoint",1.5,NA,"Choiseul","Choiseul"
"node","4529022580",-61.0445449,13.9381939,"viewpoint",1.5,NA,"Anse-la-Raye","Anse-la-Raye/Canaries"
"node","5178631921",-61.0568357,13.8179171,"viewpoint",1.5,NA,"Soufriere","Soufriere"
"node","6167221187",-61.0661358,13.9065292,"viewpoint",1.5,NA,"Canaries","Anse-la-Raye/Canaries"
"node","6179857755",-61.0506512,13.8655843,"viewpoint",1.5,NA,"Soufriere","Soufriere"
"node","7126432810",-61.0455467,13.9353955,"viewpoint",1.5,NA,"Canaries","Anse-la-Raye/Canaries"
"node","9385639559",-60.9478136,13.7165305,"viewpoint",1.5,NA,"Vieux Fort","Vieux-Fort South"
"node","9405903176",-60.9575931,13.7543534,"viewpoint",1.5,NA,"Vieux Fort","Vieux-Fort North"
"node","9559231587",-61.0586123,13.9095031,"viewpoint",1.5,NA,"Canaries","Anse-la-Raye/Canaries"
"node","10761210442",-61.0458186,13.8374695,"viewpoint",1.5,NA,"Soufriere","Soufriere"
"node","11144646205",-61.0683517,13.903652,"viewpoint",1.5,NA,"Canaries","Anse-la-Raye/Canaries"
"node","11476401278",-61.0721401,13.8725221,"viewpoint",1.5,NA,"Soufriere","Soufriere"
"node","12079568992",-61.0556656,13.8201691,"viewpoint",1.5,NA,"Soufriere","Soufriere"
"node","13634890001",-61.0492436,13.8487863,"viewpoint",1.5,NA,"Soufriere","Soufriere"
"node","13634891001",-61.0465295,13.8300518,"viewpoint",1.5,NA,"Soufriere","Soufriere"
"node","13634891101",-61.0491,13.8299652,"viewpoint",1.5,NA,"Soufriere","Soufriere"
"node","2258505696",-61.0618725,13.8281625,"viewpoint",1.5,"Sugar Beach","Soufriere","Soufriere"
"node","2621272580",-61.0612149,13.8484098,"viewpoint",1.5,"Soufriere","Soufriere","Soufriere"
"node","3265602461",-60.8892869,13.9045149,"viewpoint",1.5,"Mandele Lookout Point","Dennery","Dennery South"
"node","4027985616",-61.007218,13.7703539,"viewpoint",1.5,"Morne Le Blanc Heritage Site","Laborie","Laborie"
"node","5090847320",-61.0655291,13.8100249,"viewpoint",1.5,"Gros Piton Viewpoint","Soufriere","Soufriere"
"node","5217847577",-61.0438082,13.9425628,"viewpoint",1.5,"Viewing Point","Anse-la-Raye","Anse-la-Raye/Canaries"
"node","6167221692",-61.0456949,13.9169944,"viewpoint",1.5,"Horizon","Canaries","Anse-la-Raye/Canaries"
"node","6169528486",-60.9199685,14.0910961,"viewpoint",1.5,"Gorgona forest","Gros Islet","Gros Islet"
"node","6169528585",-60.9187124,14.0968906,"viewpoint",1.5,"Cactus forest","Gros Islet","Gros Islet"
"node","6178540490",-60.8930982,13.918213,"viewpoint",1.5,"On coast","Dennery","Dennery North"
"node","10649346505",-60.9211695,13.9856666,"viewpoint",1.5,"Rainforest Adventures","Gros Islet","Babonneau"
"node","10673421405",-61.0488652,13.8348515,"viewpoint",1.5,"Big Nature","Soufriere","Soufriere"
"node","11467283969",-61.0601103,13.8458028,"viewpoint",1.5,"UNESCO World Heritage","Soufriere","Soufriere"
"node","8560628724",-60.8864757,13.8804182,"peak",2.5,NA,"Dennery","Dennery South"
"node","12222761663",-60.9311928,13.7241527,"peak",2.5,NA,"Vieux Fort","Vieux-Fort South"
"node","281163703",-61.0110989,13.8634618,"peak",2.5,"Mount Gimie","Anse-la-Raye","Anse-la-Raye/Canaries"
"node","1224782980",-60.9647684,14.0940237,"peak",2.5,"Signal Hill","Gros Islet","Gros Islet"
"node","1675449859",-61.0656753,13.8101421,"peak",2.5,"Gros Piton","Soufriere","Soufriere"
"node","2123736668",-60.9628909,14.069344,"peak",2.5,"Mount Pimard","Gros Islet","Babonneau"
"node","2123741494",-61.0640355,13.8339056,"peak",2.5,"Petit Piton","Soufriere","Soufriere"
"node","2632179614",-61.0341359,13.868072,"peak",2.5,"Mount Tabac","Soufriere","Soufriere"
"node","4343364215",-60.9443709,13.7118498,"peak",2.5,"Cape Moule-à-Chique","Vieux Fort","Vieux-Fort South"
"node","6322922715",-60.9587494,13.9139911,"peak",2.5,"Mount La Combe","Dennery","Dennery North"
"node","6331007299",-61.0096306,13.8538166,"peak",2.5,"Piton Troumasse","Soufriere","Soufriere"
"node","6333109948",-60.9979188,13.8260858,"peak",2.5,"Mount Grand Magazin","Vieux Fort","Vieux-Fort North"
"node","6333384054",-60.9985083,13.7631201,"peak",2.5,"Morne Le Blanc","Laborie","Laborie"
"node","6333384061",-61.0007939,13.7689411,"peak",2.5,"Mount Gomier","Laborie","Laborie"
"node","6333384062",-60.9583348,13.7544076,"peak",2.5,"Morne Beausejour","Vieux Fort","Vieux-Fort North"
"node","6333384063",-60.9492362,13.7767138,"peak",2.5,"Morne Caillandre","Micoud","Micoud South"
"node","6333391093",-60.9957001,13.8421026,"peak",2.5,"Piton Saint Esprit","Vieux Fort","Vieux-Fort North"
"node","6333391094",-60.9983385,13.8617102,"peak",2.5,"Mount Cochon","Soufriere","Soufriere"
"node","6333391095",-60.9695657,13.8628212,"peak",2.5,"Mount Beaucoup","Micoud","Micoud North"
"node","6333391096",-60.9245732,13.8631877,"peak",2.5,"Mount Durocher","Micoud","Micoud North"
"node","6333400059",-60.9199695,14.0736459,"peak",2.5,"Mount de Feu","Gros Islet","Babonneau"
"node","6333400060",-60.9250088,14.0839283,"peak",2.5,"Mount Cafe","Gros Islet","Gros Islet"
"node","6333505451",-61.0612814,13.8664985,"peak",2.5,"Mount Lastic","Soufriere","Soufriere"
"node","6333507402",-61.0198518,13.8292725,"peak",2.5,"Morne Bonin","Soufriere","Soufriere"
"node","6335132054",-60.9392106,14.1051279,"peak",2.5,"Mount du Cap","Gros Islet","Gros Islet"
"node","6337315364",-60.9144259,13.8596011,"peak",2.5,"Mount Erole","Micoud","Micoud North"
"node","13704131116",-60.9480602,14.0736891,"waterfall",2,NA,"Gros Islet","Babonneau"
"node","288215868",-60.9206585,13.8221092,"waterfall",2,"Latille Waterfall","Micoud","Micoud South"
"node","1042617329",-61.0478697,13.8501105,"waterfall",2,"Diamond Falls","Soufriere","Soufriere"
"node","2258269130",-60.9057501,13.9093933,"waterfall",2,"Sault Falls","Dennery","Dennery North"
"node","2621272096",-61.0599462,13.838701,"waterfall",2,"Piton Falls","Soufriere","Soufriere"
"node","4530570420",-60.9191251,13.832168,"waterfall",2,"La Tille Falls","Micoud","Micoud South"
"node","5198650215",-61.036526,13.8542247,"waterfall",2,"Toraille Falls","Soufriere","Soufriere"
"node","6288528287",-61.048261,13.8483636,"waterfall",2,"Superman Waterfall","Soufriere","Soufriere"
"node","6330926454",-61.0017681,13.8504989,"waterfall",2,"En Bas Saut Waterfall","Soufriere","Soufriere"
"node","6333179975",-60.9302021,13.8916295,"waterfall",2,"errard, sault waterfall","Dennery","Dennery South"
"node","6333191075",-61.0257017,13.9211838,"waterfall",2,"RiverRock Waterfall","Canaries","Anse-la-Raye/Canaries"
"node","6574751062",-61.0381186,13.8851724,"waterfall",2,"Canarie's Waterfall","Canaries","Anse-la-Raye/Canaries"
"node","7100657186",-61.0168903,13.7657522,"waterfall",2,"Piaye waterhole","Laborie","Laborie"
"node","8305580877",-61.0196563,13.7973739,"waterfall",2,"De Briel – Bat Cave Falls","Laborie","Laborie"
"node","9659313854",-61.0482027,13.8435946,"waterfall",2,"Sapphire Waterfall","Soufriere","Soufriere"
"node","9925219717",-61.0201645,13.9198961,"waterfall",2,"Anse La Raye Falls","Anse-la-Raye","Anse-la-Raye/Canaries"
"node","11665150807",-61.0057061,13.8285191,"waterfall",2,"Saltibus waterfall","Laborie","Laborie"
"node","4000049157",-61.0506815,13.7753867,"beach",3,"Choiseul village public beach","Choiseul","Choiseul"
"node","4013075191",-61.0374466,13.7595508,"beach",3,"River Doree Beach","Laborie","Laborie"
"node","4013332381",-61.0210809,13.7532377,"beach",3,"Piaye Beach","Laborie","Laborie"
"node","4013459862",-61.0677571,13.7997032,"beach",3,"Anse L'Ivrogne Beach","Choiseul","Choiseul"
"node","5250516422",-61.0568632,13.9265455,"beach",3,"Anse Cochon Beach","Canaries","Anse-la-Raye/Canaries"
"node","6904167349",-61.0255117,13.7544047,"beach",3,"Balembouche beach","Laborie","Laborie"
"node","7921003297",-60.9475484,14.1036925,"beach",3,"Anse du Cap","Gros Islet","Gros Islet"
"node","7922926148",-60.9092572,13.767246,"beach",3,"Honeymoon Beach","Micoud","Micoud South"
"way","256270730",-61.0618596,13.827917,"beach",3,"Sugar Beach","Soufriere","Soufriere"
"way","256461657",-61.0622508,13.8576937,"beach",3,"Soufrière Beach","Soufriere","Soufriere"
"way","276153792",-61.0345085,13.9583619,"beach",3,"Roseau Beach","Anse-la-Raye","Anse-la-Raye/Canaries"
"way","285593349",-60.9510722,14.0971248,"beach",3,"Anse Bécune Beach","Gros Islet","Gros Islet"
"way","399518556",-61.0548509,13.7800248,"beach",3,"Sable Wiche Sha Beach, Choiseul","Choiseul","Choiseul"
"way","527215601",-60.9186193,14.0956107,"beach",3,"Donkey Beach","Gros Islet","Gros Islet"
"way","528051164",-60.9812444,13.7362388,"beach",3,"Black Bay Beach","Laborie","Laborie"
"way","528806499",-60.8922592,13.833654,"beach",3,"L'Anse Mabouya (Fond Bay Beach)","Micoud","Micoud North"
"way","551467198",-61.077795,13.8652857,"beach",3,"Anse Chastanet Beach","Soufriere","Soufriere"
"way","667691231",-61.0634153,13.8426967,"beach",3,"Malgretoute Beach","Soufriere","Soufriere"
"way","669721961",-60.9601253,14.0910332,"beach",3,"Pigeon Island Beach","Gros Islet","Gros Islet"
"way","672330047",-61.0005243,13.751768,"beach",3,"Rudy John Beach","Laborie","Laborie"
"way","673894054",-60.9272196,14.0886659,"beach",3,"Cas en bas","Gros Islet","Gros Islet"
"way","673894063",-61.0447213,13.9444069,"beach",3,"Tolonge Beach","Canaries","Anse-la-Raye/Canaries"
"way","676052651",-60.9355884,13.7447696,"beach",3,"Mankote Beach","Vieux Fort","Vieux-Fort North"
"way","677825860",-61.0630428,13.786981,"beach",3,"La Pointe Beach","Choiseul","Choiseul"
"way","700641361",-60.9216241,14.0836197,"beach",3,"$5 Beach","Gros Islet","Gros Islet"
"way","700641363",-60.9195998,14.0793423,"beach",3,"Tousalee Beach","Gros Islet","Gros Islet"
"way","822617938",-61.0783673,13.8709966,"beach",3,"Anse Mamin","Soufriere","Soufriere"
"way","822620268",-60.9194195,14.0920677,"beach",3,"Secret Beach","Gros Islet","Gros Islet"
"node","5241056829",-61.0549882,13.8199649,"nature_reserve",2,"Tet Paul Nature trail","Soufriere","Soufriere"
"way","1017562699",-60.9314293,13.7260499,"nature_reserve",2,"Maria Islands Nature Reserve","Vieux Fort","Vieux-Fort South"
"manual","manual_sulphur_springs",-61.0527,13.835,"hot_spring",2,"Sulphur Springs","Soufriere","Soufriere"
"node","1224753146",-60.9975012,14.0064044,"viewpoint",1.5,NA,"Castries","Castries (equal split)"
"node","1224753161",-61.0190631,13.963838,"viewpoint",1.5,NA,"Castries","Castries (equal split)"
"node","5001859981",-61.0251631,13.9717663,"viewpoint",1.5,NA,"Castries","Castries (equal split)"
"node","5001864597",-61.0275074,13.9701348,"viewpoint",1.5,NA,"Castries","Castries (equal split)"
"node","2631362168",-60.978443,14.0088162,"viewpoint",1.5,"View point","Castries","Castries (equal split)"
"node","6322821580",-60.9447025,13.9645815,"peak",2.5,"Piton Flore","Castries","Castries (equal split)"
"node","6333468154",-61.0141442,13.971109,"peak",2.5,"Mount Bellevue","Castries","Castries (equal split)"
"node","6337387514",-60.9677518,14.0106003,"peak",2.5,"Morne Dudon","Castries","Castries (equal split)"
"way","255416397",-60.9882513,14.0248623,"beach",3,"Vigie Beach","Castries","Castries (equal split)"
"way","276153795",-61.0095788,14.009262,"beach",3,"Yellow Sands Beach","Castries","Castries (equal split)"
"way","484060408",-60.9752351,14.0337227,"beach",3,"Choc Beach","Castries","Castries (equal split)"
"way","564271735",-61.0253697,13.9663587,"beach",3,"Marigot Beach","Castries","Castries (equal split)"
"relation","9376553",-60.9639282,13.916226,"nature_reserve",2,"Forest Reserve","Castries","Castries (equal split)"
